product_code,customer_code,market_code,order_date,sales_qty,sales_amount,cost_price,profit,profit_margin,Revenue,Total Expense (COGS),Net Income,Total Equity,Total Assets ,Operating Income ,Gross Margin,Net Margin,Ratio of Equity,Ratio of Assets,Operating  Margin 
Prod065,Cus010,Mark003,04-10-2020,16,4000,5120,-1120,-0.28,64000,81920,-17920,58880,9120,62880,-0.28,-28,-30.43,-196.49,98.25
Prod105,Cus005,Mark004,05-10-2020,1,42,29.82,12.18,0.29,42,29.82,12.18,12.18,71.82,54.18,0.29,29,100,16.96,129
Prod126,Cus005,Mark004,05-10-2020,1,42,52.5,-10.5,-0.25,42,52.5,-10.5,-10.5,94.5,31.5,-0.25,-25,100,-11.11,75
Prod267,Cus005,Mark004,05-10-2020,1,269,360.46,-91.46,-0.34,269,360.46,-91.46,-91.46,629.46,177.54,-0.34,-34,100,-14.53,66
Prod099,Cus005,Mark004,05-10-2020,1,167,188.71,-21.71,-0.13,167,188.71,-21.71,-21.71,355.71,145.29,-0.13,-13,100,-6.1,87
Prod279,Cus005,Mark004,05-10-2020,1,120,100.8,19.2,0.16,120,100.8,19.2,19.2,220.8,139.2,0.16,16,100,8.7,116
Prod273,Cus005,Mark004,05-10-2020,1,102,116.28,-14.28,-0.14,102,116.28,-14.28,-14.28,218.28,87.72,-0.14,-14,100,-6.54,86
Prod286,Cus005,Mark004,05-10-2020,1,102,65.28,36.72,0.36,102,65.28,36.72,36.72,167.28,138.72,0.36,36,100,21.95,136
Prod252,Cus005,Mark004,05-10-2020,1,194,166.84,27.16,0.14,194,166.84,27.16,27.16,360.84,221.16,0.14,14,100,7.53,114
Prod278,Cus005,Mark004,05-10-2020,1,134,171.52,-37.52,-0.28,134,171.52,-37.52,-37.52,305.52,96.48,-0.28,-28,100,-12.28,72
Prod274,Cus005,Mark004,05-10-2020,1,83,81.34,1.66,0.02,83,81.34,1.66,1.66,164.34,84.66,0.02,2,100,1.01,102
Prod283,Cus005,Mark004,05-10-2020,1,83,78.85,4.15,0.05,83,78.85,4.15,4.15,161.85,87.15,0.05,5,100,2.56,105
Prod263,Cus005,Mark004,05-10-2020,1,69,80.73,-11.73,-0.17,69,80.73,-11.73,-11.73,149.73,57.27,-0.17,-17,100,-7.83,83
Prod102,Cus005,Mark004,05-10-2020,1,69,70.38,-1.38,-0.02,69,70.38,-1.38,-1.38,139.38,67.62,-0.02,-2,100,-0.99,98
Prod281,Cus005,Mark004,05-10-2020,1,32,24.64,7.36,0.23,32,24.64,7.36,7.36,56.64,39.36,0.23,23,100,12.99,123
Prod239,Cus005,Mark004,05-10-2020,1,32,39.36,-7.36,-0.23,32,39.36,-7.36,-7.36,71.36,24.64,-0.23,-23,100,-10.31,77
Prod296,Cus005,Mark004,05-10-2020,1,144,116.64,27.36,0.19,144,116.64,27.36,27.36,260.64,171.36,0.19,19,100,10.5,119
Prod297,Cus005,Mark004,05-10-2020,1,144,115.2,28.8,0.2,144,115.2,28.8,28.8,259.2,172.8,0.2,20,100,11.11,120
Prod103,Cus005,Mark004,05-10-2020,1,125,123.75,1.25,0.01,125,123.75,1.25,1.25,248.75,126.25,0.01,1,100,0.5,101
Prod280,Cus005,Mark004,05-10-2020,1,65,65.65,-0.65,-0.01,65,65.65,-0.65,-0.65,130.65,64.35,-0.01,-1,100,-0.5,99
Prod264,Cus005,Mark004,05-10-2020,1,65,62.4,2.6,0.04,65,62.4,2.6,2.6,127.4,67.6,0.04,4,100,2.04,104
Prod288,Cus005,Mark004,05-10-2020,1,65,68.25,-3.25,-0.05,65,68.25,-3.25,-3.25,133.25,61.75,-0.05,-5,100,-2.44,95
Prod265,Cus005,Mark004,05-10-2020,1,130,111.8,18.2,0.14,130,111.8,18.2,18.2,241.8,148.2,0.14,14,100,7.53,114
Prod294,Cus005,Mark004,05-10-2020,1,93,115.32,-22.32,-0.24,93,115.32,-22.32,-22.32,208.32,70.68,-0.24,-24,100,-10.71,76
Prod295,Cus005,Mark004,05-10-2020,1,93,98.58,-5.58,-0.06,93,98.58,-5.58,-5.58,191.58,87.42,-0.06,-6,100,-2.91,94
Prod116,Cus005,Mark004,05-10-2020,1,93,65.1,27.9,0.3,93,65.1,27.9,27.9,158.1,120.9,0.3,30,100,17.65,130
Prod269,Cus005,Mark004,05-10-2020,1,93,80.91,12.09,0.13,93,80.91,12.09,12.09,173.91,105.09,0.13,13,100,6.95,113
Prod270,Cus005,Mark004,05-10-2020,1,93,106.02,-13.02,-0.14,93,106.02,-13.02,-13.02,199.02,79.98,-0.14,-14,100,-6.54,86
Prod137,Cus005,Mark004,05-10-2020,1,74,79.92,-5.92,-0.08,74,79.92,-5.92,-5.92,153.92,68.08,-0.08,-8,100,-3.85,92
Prod271,Cus005,Mark004,05-10-2020,1,74,72.52,1.48,0.02,74,72.52,1.48,1.48,146.52,75.48,0.02,2,100,1.01,102
Prod135,Cus005,Mark004,05-10-2020,1,46,45.08,0.92,0.02,46,45.08,0.92,0.92,91.08,46.92,0.02,2,100,1.01,102
Prod212,Cus010,Mark003,05-10-2020,1,495,336.6,158.4,0.32,495,336.6,158.4,158.4,831.6,653.4,0.32,32,100,19.05,132
Prod237,Cus010,Mark003,05-10-2020,1,801,720.9,80.1,0.1,801,720.9,80.1,80.1,1521.9,881.1,0.1,10,100,5.26,110
Prod021,Cus010,Mark003,05-10-2020,1,1644,1249.44,394.56,0.24,1644,1249.44,394.56,394.56,2893.44,2038.56,0.24,24,100,13.64,124
Prod207,Cus010,Mark003,05-10-2020,1,1324,1045.96,278.04,0.21,1324,1045.96,278.04,278.04,2369.96,1602.04,0.21,21,100,11.73,121
Prod226,Cus010,Mark003,05-10-2020,1,2185,2949.75,-764.75,-0.35,2185,2949.75,-764.75,-764.75,5134.75,1420.25,-0.35,-35,100,-14.89,65
Prod188,Cus012,Mark003,05-10-2020,1,1792,1917.44,-125.44,-0.07,1792,1917.44,-125.44,-125.44,3709.44,1666.56,-0.07,-7,100,-3.38,93
Prod212,Cus012,Mark003,05-10-2020,1,2120,2650,-530,-0.25,2120,2650,-530,-530,4770,1590,-0.25,-25,100,-11.11,75
Prod237,Cus012,Mark003,05-10-2020,1,856,1138.48,-282.48,-0.33,856,1138.48,-282.48,-282.48,1994.48,573.52,-0.33,-33,100,-14.16,67
Prod024,Cus016,Mark002,05-10-2020,1,1514,968.96,545.04,0.36,1514,968.96,545.04,545.04,2482.96,2059.04,0.36,36,100,21.95,136
Prod129,Cus016,Mark002,05-10-2020,1,282,248.16,33.84,0.12,282,248.16,33.84,33.84,530.16,315.84,0.12,12,100,6.38,112
Prod206,Cus016,Mark002,05-10-2020,1,93,100.44,-7.44,-0.08,93,100.44,-7.44,-7.44,193.44,85.56,-0.08,-8,100,-3.85,92
Prod267,Cus016,Mark002,05-10-2020,1,315,425.25,-110.25,-0.35,315,425.25,-110.25,-110.25,740.25,204.75,-0.35,-35,100,-14.89,65
Prod294,Cus016,Mark002,05-10-2020,1,51,60.69,-9.69,-0.19,51,60.69,-9.69,-9.69,111.69,41.31,-0.19,-19,100,-8.68,81
Prod234,Cus016,Mark002,05-10-2020,1,338,233.22,104.78,0.31,338,233.22,104.78,104.78,571.22,442.78,0.31,31,100,18.34,131
Prod119,Cus029,Mark002,05-10-2020,1,79,48.98,30.02,0.38,79,48.98,30.02,30.02,127.98,109.02,0.38,38,100,23.46,138
Prod105,Cus003,Mark014,05-10-2020,1,46,40.02,5.98,0.13,46,40.02,5.98,5.98,86.02,51.98,0.13,13,100,6.95,113
Prod236,Cus003,Mark014,05-10-2020,1,185,249.75,-64.75,-0.35,185,249.75,-64.75,-64.75,434.75,120.25,-0.35,-35,100,-14.89,65
Prod247,Cus003,Mark014,05-10-2020,1,56,56,0,0,56,56,0,0,112,56,0,0,#DIV/0!,0,100
Prod249,Cus003,Mark014,05-10-2020,1,51,56.61,-5.61,-0.11,51,56.61,-5.61,-5.61,107.61,45.39,-0.11,-11,100,-5.21,89
Prod238,Cus001,Mark010,05-10-2020,1,46,58.42,-12.42,-0.27,46,58.42,-12.42,-12.42,104.42,33.58,-0.27,-27,100,-11.89,73
Prod291,Cus001,Mark010,05-10-2020,1,79,66.36,12.64,0.16,79,66.36,12.64,12.64,145.36,91.64,0.16,16,100,8.7,116
Prod293,Cus001,Mark010,05-10-2020,2,866,562.9,303.1,0.35,1732,1125.8,606.2,1169.1,1428.9,2035.1,0.35,35,51.85,42.42,117.5
Prod094,Cus003,Mark014,05-10-2020,2,241,233.77,7.23,0.03,482,467.54,14.46,248.23,474.77,489.23,0.03,3,5.83,3.05,101.5
Prod188,Cus010,Mark003,05-10-2020,2,2389,2126.21,262.79,0.11,4778,4252.42,525.58,2651.79,4515.21,5040.79,0.11,11,19.82,11.64,105.5
Prod188,Cus027,Mark003,05-10-2020,3,6241,6241,0,0,18723,18723,0,12482,12482,18723,0,0,0,0,100
Prod113,Cus010,Mark003,05-10-2020,3,1009,1210.8,-201.8,-0.2,3027,3632.4,-605.4,1816.2,2219.8,2825.2,-0.2,-20,-33.33,-27.27,93.33
Prod284,Cus001,Mark010,05-10-2020,3,407,508.75,-101.75,-0.25,1221,1526.25,-305.25,712.25,915.75,1119.25,-0.25,-25,-42.86,-33.33,91.67
Prod093,Cus003,Mark014,05-10-2020,15,1755,2123.55,-368.55,-0.21,26325,31853.25,-5528.25,24201.45,3878.55,25956.45,-0.21,-21,-22.84,-142.53,98.6
Prod090,Cus003,Mark014,05-10-2020,45,2204,2953.36,-749.36,-0.34,99180,132901.2,-33721.2,96226.64,5157.36,98430.64,-0.34,-34,-35.04,-653.85,99.24
Prod026,Cus030,Mark007,05-10-2020,86,47528,62736.96,-15208.96,-0.32,4087408,5395378.56,-1307970.56,4024671.04,110264.96,4072199.04,-0.32,-32,-32.5,-1186.21,99.63
Prod133,Cus030,Mark007,05-10-2020,48,21000,14490,6510,0.31,1008000,695520,312480,993510,35490,1014510,0.31,31,31.45,880.47,100.65
Prod199,Cus030,Mark007,05-10-2020,84,23222,30885.26,-7663.26,-0.33,1950648,2594361.84,-643713.84,1919762.74,54107.26,1942984.74,-0.33,-33,-33.53,-1189.7,99.61
Prod289,Cus001,Mark010,05-10-2020,7,1255,891.05,363.95,0.29,8785,6237.35,2547.65,7893.95,2146.05,9148.95,0.29,29,32.27,118.71,104.14
Prod211,Cus001,Mark010,05-10-2020,20,4356,3528.36,827.64,0.19,87120,70567.2,16552.8,83591.64,7884.36,87947.64,0.19,19,19.8,209.94,100.95
Prod249,Cus001,Mark010,05-10-2020,11,1824,1313.28,510.72,0.28,20064,14446.08,5617.92,18750.72,3137.28,20574.72,0.28,28,29.96,179.07,102.55
Prod105,Cus001,Mark010,05-10-2020,22,5866,7391.16,-1525.16,-0.26,129052,162605.52,-33553.52,121660.84,13257.16,127526.84,-0.26,-26,-27.58,-253.1,98.82
Prod093,Cus001,Mark010,05-10-2020,61,5171,5274.42,-103.42,-0.02,315431,321739.62,-6308.62,310156.58,10445.42,315327.58,-0.02,-2,-2.03,-60.4,99.97
Prod090,Cus001,Mark010,05-10-2020,7,468,369.72,98.28,0.21,3276,2588.04,687.96,2906.28,837.72,3374.28,0.21,21,23.67,82.12,103
Prod260,Cus001,Mark010,05-10-2020,30,2810,3793.5,-983.5,-0.35,84300,113805,-29505,80506.5,6603.5,83316.5,-0.35,-35,-36.65,-446.81,98.83
Prod241,Cus001,Mark010,05-10-2020,44,3338,2904.06,433.94,0.13,146872,127778.64,19093.36,143967.94,6242.06,147305.94,0.13,13,13.26,305.88,100.3
Prod017,Cus022,Mark002,05-10-2020,4,9190,10568.5,-1378.5,-0.15,36760,42274,-5514,26191.5,19758.5,35381.5,-0.15,-15,-21.05,-27.91,96.25
Prod101,Cus022,Mark002,05-10-2020,13,3403,3266.88,136.12,0.04,44239,42469.44,1769.56,40972.12,6669.88,44375.12,0.04,4,4.32,26.53,100.31
Prod234,Cus022,Mark002,05-10-2020,40,34634,41907.14,-7273.14,-0.21,1385360,1676285.6,-290925.6,1343452.86,76541.14,1378086.86,-0.21,-21,-21.66,-380.09,99.48
Prod129,Cus022,Mark002,05-10-2020,60,13903,14876.21,-973.21,-0.07,834180,892572.6,-58392.6,819303.79,28779.21,833206.79,-0.07,-7,-7.13,-202.9,99.88
Prod117,Cus022,Mark002,05-10-2020,32,4259,5664.47,-1405.47,-0.33,136288,181263.04,-44975.04,130623.53,9923.47,134882.53,-0.33,-33,-34.43,-453.22,98.97
Prod218,Cus022,Mark002,05-10-2020,53,48269,36684.44,11584.56,0.24,2558257,1944275.32,613981.68,2521572.56,84953.44,2569841.56,0.24,24,24.35,722.73,100.45
Prod212,Cus029,Mark002,05-10-2020,5,6014,6855.96,-841.96,-0.14,30070,34279.8,-4209.8,23214.04,12869.96,29228.04,-0.14,-14,-18.13,-32.71,97.2
Prod223,Cus025,Mark002,05-10-2020,5,12440,15550,-3110,-0.25,62200,77750,-15550,46650,27990,59090,-0.25,-25,-33.33,-55.56,95
Prod090,Cus009,Mark002,05-10-2020,33,1880,1804.8,75.2,0.04,62040,59558.4,2481.6,60235.2,3684.8,62115.2,0.04,4,4.12,67.35,100.12
Prod117,Cus025,Mark002,05-10-2020,16,4060,2598.4,1461.6,0.36,64960,41574.4,23385.6,62361.6,6658.4,66421.6,0.36,36,37.5,351.22,102.25
Prod218,Cus016,Mark002,05-10-2020,4,4083,5103.75,-1020.75,-0.25,16332,20415,-4083,11228.25,9186.75,15311.25,-0.25,-25,-36.36,-44.44,93.75
Prod218,Cus010,Mark003,05-10-2020,8,10324,8878.64,1445.36,0.14,82592,71029.12,11562.88,73713.36,19202.64,84037.36,0.14,14,15.69,60.22,101.75
Prod218,Cus012,Mark003,05-10-2020,6,8407,7230.02,1176.98,0.14,50442,43380.12,7061.88,43211.98,15637.02,51618.98,0.14,14,16.34,45.16,102.33
Prod060,Cus012,Mark003,05-10-2020,34,16565,15736.75,828.25,0.05,563210,535049.5,28160.5,547473.25,32301.75,564038.25,0.05,5,5.14,87.18,100.15
Prod060,Cus010,Mark003,05-10-2020,11,5019,4015.2,1003.8,0.2,55209,44167.2,11041.8,51193.8,9034.2,56212.8,0.2,20,21.57,122.22,101.82
Prod021,Cus012,Mark003,05-10-2020,5,13199,10163.23,3035.77,0.23,65995,50816.15,15178.85,55831.77,23362.23,69030.77,0.23,23,27.19,64.97,104.6
Prod234,Cus012,Mark003,05-10-2020,5,7213,9593.29,-2380.29,-0.33,36065,47966.45,-11901.45,26471.71,16806.29,33684.71,-0.33,-33,-44.96,-70.82,93.4
Prod133,Cus010,Mark003,05-10-2020,5,5190,4619.1,570.9,0.11,25950,23095.5,2854.5,21330.9,9809.1,26520.9,0.11,11,13.38,29.1,102.2
Prod021,Cus027,Mark003,05-10-2020,13,42954,56269.74,-13315.74,-0.31,558402,731506.62,-173104.62,502132.26,99223.74,545086.26,-0.31,-31,-34.47,-174.46,97.62
Prod207,Cus027,Mark003,05-10-2020,13,17287,14521.08,2765.92,0.16,224731,188774.04,35956.96,210209.92,31808.08,227496.92,0.16,16,17.11,113.04,101.23
Prod133,Cus012,Mark003,05-10-2020,6,6556,5572.6,983.4,0.15,39336,33435.6,5900.4,33763.4,12128.6,40319.4,0.15,15,17.48,48.65,102.5
Prod207,Cus012,Mark003,05-10-2020,4,4250,5015,-765,-0.18,17000,20060,-3060,11985,9265,16235,-0.18,-18,-25.53,-33.03,95.5
Prod234,Cus010,Mark003,05-10-2020,4,5384,6622.32,-1238.32,-0.23,21536,26489.28,-4953.28,14913.68,12006.32,20297.68,-0.23,-23,-33.21,-41.26,94.25
Prod065,Cus012,Mark003,05-10-2020,10,2750,2612.5,137.5,0.05,27500,26125,1375,24887.5,5362.5,27637.5,0.05,5,5.52,25.64,100.5
Prod065,Cus010,Mark003,05-10-2020,9,2333,1633.1,699.9,0.3,20997,14697.9,6299.1,19363.9,3966.1,21696.9,0.3,30,32.53,158.82,103.33
Prod252,Cus020,Mark004,06-10-2020,1,185,151.7,33.3,0.18,185,151.7,33.3,33.3,336.7,218.3,0.18,18,100,9.89,118
Prod224,Cus020,Mark004,06-10-2020,1,1051,1324.26,-273.26,-0.26,1051,1324.26,-273.26,-273.26,2375.26,777.74,-0.26,-26,100,-11.5,74
Prod232,Cus020,Mark004,06-10-2020,1,662,403.82,258.18,0.39,662,403.82,258.18,258.18,1065.82,920.18,0.39,39,100,24.22,139
Prod102,Cus005,Mark004,06-10-2020,1,208,137.28,70.72,0.34,208,137.28,70.72,70.72,345.28,278.72,0.34,34,100,20.48,134
Prod113,Cus005,Mark004,06-10-2020,1,176,163.68,12.32,0.07,176,163.68,12.32,12.32,339.68,188.32,0.07,7,100,3.63,107
Prod117,Cus005,Mark004,06-10-2020,1,56,69.44,-13.44,-0.24,56,69.44,-13.44,-13.44,125.44,42.56,-0.24,-24,100,-10.71,76
Prod294,Cus005,Mark004,06-10-2020,1,190,193.8,-3.8,-0.02,190,193.8,-3.8,-3.8,383.8,186.2,-0.02,-2,100,-0.99,98
Prod288,Cus005,Mark004,06-10-2020,1,259,191.66,67.34,0.26,259,191.66,67.34,67.34,450.66,326.34,0.26,26,100,14.94,126
Prod105,Cus005,Mark004,06-10-2020,1,292,245.28,46.72,0.16,292,245.28,46.72,46.72,537.28,338.72,0.16,16,100,8.7,116
Prod177,Cus005,Mark004,06-10-2020,1,556,455.92,100.08,0.18,556,455.92,100.08,100.08,1011.92,656.08,0.18,18,100,9.89,118
Prod104,Cus005,Mark004,06-10-2020,1,509,519.18,-10.18,-0.02,509,519.18,-10.18,-10.18,1028.18,498.82,-0.02,-2,100,-0.99,98
Prod232,Cus005,Mark004,06-10-2020,1,417,475.38,-58.38,-0.14,417,475.38,-58.38,-58.38,892.38,358.62,-0.14,-14,100,-6.54,86
Prod174,Cus005,Mark004,06-10-2020,1,116,88.16,27.84,0.24,116,88.16,27.84,27.84,204.16,143.84,0.24,24,100,13.64,124
Prod276,Cus005,Mark004,06-10-2020,1,116,138.04,-22.04,-0.19,116,138.04,-22.04,-22.04,254.04,93.96,-0.19,-19,100,-8.68,81
Prod298,Cus005,Mark004,06-10-2020,1,213,204.48,8.52,0.04,213,204.48,8.52,8.52,417.48,221.52,0.04,4,100,2.04,104
Prod292,Cus005,Mark004,06-10-2020,1,213,138.45,74.55,0.35,213,138.45,74.55,74.55,351.45,287.55,0.35,35,100,21.21,135
Prod252,Cus005,Mark004,06-10-2020,1,120,126,-6,-0.05,120,126,-6,-6,246,114,-0.05,-5,100,-2.44,95
Prod273,Cus005,Mark004,06-10-2020,1,102,94.86,7.14,0.07,102,94.86,7.14,7.14,196.86,109.14,0.07,7,100,3.63,107
Prod123,Cus005,Mark004,06-10-2020,1,250,165,85,0.34,250,165,85,85,415,335,0.34,34,100,20.48,134
Prod267,Cus005,Mark004,06-10-2020,1,134,143.38,-9.38,-0.07,134,143.38,-9.38,-9.38,277.38,124.62,-0.07,-7,100,-3.38,93
Prod274,Cus005,Mark004,06-10-2020,1,83,65.57,17.43,0.21,83,65.57,17.43,17.43,148.57,100.43,0.21,21,100,11.73,121
Prod129,Cus005,Mark004,06-10-2020,1,83,70.55,12.45,0.15,83,70.55,12.45,12.45,153.55,95.45,0.15,15,100,8.11,115
Prod200,Cus005,Mark004,06-10-2020,1,32,39.36,-7.36,-0.23,32,39.36,-7.36,-7.36,71.36,24.64,-0.23,-23,100,-10.31,77
Prod286,Cus005,Mark004,06-10-2020,1,51,45.9,5.1,0.1,51,45.9,5.1,5.1,96.9,56.1,0.1,10,100,5.26,110
Prod187,Cus005,Mark004,06-10-2020,1,185,172.05,12.95,0.07,185,172.05,12.95,12.95,357.05,197.95,0.07,7,100,3.63,107
Prod270,Cus005,Mark004,06-10-2020,1,185,173.9,11.1,0.06,185,173.9,11.1,11.1,358.9,196.1,0.06,6,100,3.09,106
Prod102,Cus005,Mark004,06-10-2020,1,222,164.28,57.72,0.26,222,164.28,57.72,57.72,386.28,279.72,0.26,26,100,14.94,126
Prod271,Cus005,Mark004,06-10-2020,1,222,197.58,24.42,0.11,222,197.58,24.42,24.42,419.58,246.42,0.11,11,100,5.82,111
Prod296,Cus005,Mark004,06-10-2020,1,144,123.84,20.16,0.14,144,123.84,20.16,20.16,267.84,164.16,0.14,14,100,7.53,114
Prod297,Cus005,Mark004,06-10-2020,1,144,103.68,40.32,0.28,144,103.68,40.32,40.32,247.68,184.32,0.28,28,100,16.28,128
Prod103,Cus005,Mark004,06-10-2020,1,125,77.5,47.5,0.38,125,77.5,47.5,47.5,202.5,172.5,0.38,38,100,23.46,138
Prod264,Cus005,Mark004,06-10-2020,1,65,78,-13,-0.2,65,78,-13,-13,143,52,-0.2,-20,100,-9.09,80
Prod114,Cus005,Mark004,06-10-2020,1,93,100.44,-7.44,-0.08,93,100.44,-7.44,-7.44,193.44,85.56,-0.08,-8,100,-3.85,92
Prod295,Cus005,Mark004,06-10-2020,1,97,95.06,1.94,0.02,97,95.06,1.94,1.94,192.06,98.94,0.02,2,100,1.01,102
Prod116,Cus005,Mark004,06-10-2020,1,139,87.57,51.43,0.37,139,87.57,51.43,51.43,226.57,190.43,0.37,37,100,22.7,137
Prod113,Cus010,Mark003,06-10-2020,1,449,363.69,85.31,0.19,449,363.69,85.31,85.31,812.69,534.31,0.19,19,100,10.5,119
Prod218,Cus010,Mark003,06-10-2020,1,824,593.28,230.72,0.28,824,593.28,230.72,230.72,1417.28,1054.72,0.28,28,100,16.28,128
Prod237,Cus010,Mark003,06-10-2020,1,1602,1682.1,-80.1,-0.05,1602,1682.1,-80.1,-80.1,3284.1,1521.9,-0.05,-5,100,-2.44,95
Prod133,Cus010,Mark003,06-10-2020,1,208,124.8,83.2,0.4,208,124.8,83.2,83.2,332.8,291.2,0.4,40,100,25,140
Prod021,Cus010,Mark003,06-10-2020,1,3287,3352.74,-65.74,-0.02,3287,3352.74,-65.74,-65.74,6639.74,3221.26,-0.02,-2,100,-0.99,98
Prod207,Cus010,Mark003,06-10-2020,1,991,1298.21,-307.21,-0.31,991,1298.21,-307.21,-307.21,2289.21,683.79,-0.31,-31,100,-13.42,69
Prod226,Cus010,Mark003,06-10-2020,1,1458,1414.26,43.74,0.03,1458,1414.26,43.74,43.74,2872.26,1501.74,0.03,3,100,1.52,103
Prod066,Cus011,Mark003,06-10-2020,1,417,517.08,-100.08,-0.24,417,517.08,-100.08,-100.08,934.08,316.92,-0.24,-24,100,-10.71,76
Prod117,Cus011,Mark003,06-10-2020,1,111,113.22,-2.22,-0.02,111,113.22,-2.22,-2.22,224.22,108.78,-0.02,-2,100,-0.99,98
Prod188,Cus011,Mark003,06-10-2020,1,1389,1041.75,347.25,0.25,1389,1041.75,347.25,347.25,2430.75,1736.25,0.25,25,100,14.29,125
Prod212,Cus011,Mark003,06-10-2020,1,1333,1066.4,266.6,0.2,1333,1066.4,266.6,266.6,2399.4,1599.6,0.2,20,100,11.11,120
Prod053,Cus016,Mark007,06-10-2020,1,227,181.6,45.4,0.2,227,181.6,45.4,45.4,408.6,272.4,0.2,20,100,11.11,120
Prod093,Cus016,Mark007,06-10-2020,1,144,154.08,-10.08,-0.07,144,154.08,-10.08,-10.08,298.08,133.92,-0.07,-7,100,-3.38,93
